years,TMAX,TMIN,t90,t95,t100
1947,41.40298507462686,27.85074626865672,0,0,0
1948,57.31284153005465,38.032786885245905,5,1,0
1949,59.42739726027397,39.950684931506856,4,0,0
1950,56.06849315068493,37.563013698630144,0,0,0
1951,56.60958904109589,38.706849315068496,2,0,0
1952,57.313296903460824,39.86156648451732,7,0,0
1953,58.5689497716895,40.617351598173535,8,1,0
1954,56.625570776255714,39.08858447488585,0,0,0
1955,57.89954337899541,39.6739726027397,15,0,0
1956,55.439890710382535,38.34153005464485,0,0,0
1957,56.85570776255712,39.16621004566209,2,0,0
1958,54.98538812785394,37.56438356164386,0,0,0
1959,57.21278538812793,39.24292237442924,3,0,0
1960,55.774590163934434,38.029143897996356,0,0,0
1961,55.769406392694066,38.937899543379004,0,0,0
1962,56.200456621004534,36.72100456621004,2,0,0
1963,55.50456621004565,36.77716894977164,4,0,0
1964,56.938979963570134,38.60200364298724,3,0,0
1965,55.64794520547945,37.93287671232877,0,0,0
1966,55.52968036529681,38.369406392694046,3,0,0
1967,55.49771689497718,38.791780821917776,0,0,0
1968,55.648679417122096,38.81580145719492,2,0,0
1969,54.69337899543382,41.90319634703196,1,0,0
1970,56.25319634703197,39.76757990867579,0,0,0
1971,56.41187214611875,39.464840182648395,0,0,0
1972,54.63160291438983,37.61839708561017,0,0,0
1973,57.18493150684932,42.07945205479452,0,0,0
1974,54.94520547945206,39.746575342465746,0,0,0
1975,57.016438356164386,41.62054794520548,3,0,0
1976,54.19125683060109,38.02367941712205,0,0,0
1977,54.94520547945206,39.850684931506855,0,0,0
1978,53.28493150684932,37.15342465753425,0,0,0
1979,55.31917808219178,38.149315068493145,1,0,0
1980,54.591530054644814,38.19808743169399,0,0,0
1981,55.402739726027406,39.09315068493151,0,0,0
1982,55.946575342465756,38.34109589041096,1,0,0
1983,56.49589041095891,39.43013698630136,0,0,0
1984,55.576502732240435,39.42896174863388,0,0,0
1985,55.66575342465754,39.31917808219178,1,0,0
1986,55.75342465753425,39.57534246575342,0,0,0
1987,57.653424657534245,40.96849315068493,0,0,0
1988,56.73224043715847,39.46994535519126,10,1,0
1989,54.967579908675816,38.15844748858447,0,0,0
1990,57.97625570776257,41.21004566210046,1,0,0
1991,58.804566210045614,41.42191780821919,0,0,0
1992,54.7308743169399,38.636156648451745,0,0,0
1993,55.81415525114152,38.62191780821917,2,0,0
1994,55.927853881278544,38.74611872146122,4,0,0
1995,56.46757990867585,39.29863013698631,3,0,0
1996,55.02641165755914,38.14617486338801,0,0,0
1997,55.292237442922364,38.4,0,0,0
1998,59.5086757990868,42.501369863013686,1,0,0
1999,58.37899543378998,40.09086757990868,3,0,0
2000,55.67805100182149,38.14981785063753,0,0,0
2001,58.306164383561665,41.213470319634695,7,0,0
2002,57.346347031963475,40.84520547945206,3,0,0
2003,55.18561643835618,38.37853881278539,0,0,0
2004,56.12923497267762,39.34890710382511,0,0,0
2005,57.96397260273968,39.92452054794519,11,1,0
2006,58.86876712328762,42.09232876712328,3,0,0
2007,57.81534246575343,39.69607305936074,6,0,0
2008,56.841530054644835,38.975,0,0,0
2009,56.38589041095892,38.387808219178076,0,0,0
2010,57.868082191780815,40.926849315068495,1,0,0
2011,57.78123287671235,40.794246575342434,2,0,0
2012,60.43633879781425,42.5879781420765,5,0,0
2013,56.886712328767175,39.5987671232877,3,0,0
2014,55.4191780821918,37.78479452054794,0,0,0
2015,57.339589041095856,38.959041095890456,1,0,0
2016,60.44153005464479,41.979326047358825,11,0,0
2017,58.84210045662105,42.06598173515982,1,0,0
2018,57.75406392694065,41.518264840182646,7,0,0
2019,56.5985883424408,38.82627504553733,0,0,0
